Security Ticker,Security Description
UBFO,United Security Bancshare/Ca
DLTH,Duluth Holdings Inc
CURO,Curo Group Holdings Corp
RNET,Rignet Inc
VSTM,Verastem Inc
PLSE,Pulse Biosciences Inc
LFGR,Leaf Group Ltd
BTX,Biotime Inc
BOMN,Boston Omaha Corp
OPBK,Op Bancorp
FFNW,First Financial Northwest Inc
DRRX,Durect Corp
USX,Us Xpress Enterprises Inc
ESTE,Earthstone Energy Inc - A
ADMS,Adamas Pharmaceuticals Inc
OCUL,Ocular Therapeutix Inc
OVLY,Oak Valley Bancorp
FCCO,First Community Corp
AGLE,Aeglea Bio Therapeutics Inc
DGICA,Donegal Group Inc
ICD,Independence Contract Drilling Inc
PEBK,Peoples Bancorp Of Nc
FUNC,First United Corp
PDLB,Pdl Community Bancorp
GCAP,Gain Capital Holdings Inc
SYBX,Synlogic Inc
CELC,Celcuity Inc
ESCA,Escalade Inc
BLCM,Bellicum Pharmaceuticals Inc
LEVL,Level One Bancorp Inc
THOR,Synthorx Inc
WATT,Energous Corp
CMRX,Chimerix Inc
FONR,Fonar Corp
CVIA,Covia Holdings Corp
SLDB,Solid Biosciences Inc
SAMG,Silvercrest Asset Management Group Inc
ONVO,Organovo Holdings Inc
MBCN,Middlefield Banc Corp
RLH,Red Lion Hotels Corp
CSTR,Capstar Financial Holdings Inc
ITI,Iteris Inc
PMBC,Pacific Mercantile Bancorp
NLS,Nautilus Inc
MPB,Mid Penn Bancorp Inc
SBOW,Silverbow Resources Inc
USAP,Universal Stainless & Alloy Products Inc
IO,Ion Geophysical Corp
CCB,Coastal Financial Corp
SUP,Superior Industries Intl Inc
LXU,Lsb Industries Inc
III,Information Services Group Inc
DOVA,Dova Pharmaceuticals Inc
SNDX,Syndax Pharmaceuticals Inc
SGA,Saga Communications Inc
HIVE,Aerohive Networks Inc
CBFV,Cb Financial Services Inc
TWST,Twist Bioscience Corp
EVLO,Evelo Biosciences Inc
HCHC,Hc2 Holdings Inc
MPX,Marine Products Corp
KALA,Kala Pharmaceuticals Inc
MNTX,Manitex Intl Inc
ALEC,Alector Inc
USAK,Usa Truck Inc
PES,Pioneer Energy Services Corp
BXG,Bluegreen Vacations Corp
GDP,Goodrich Petroleum Corp
SPKE,Spark Energy Inc
GENC,Gencor Industries Inc
INSY,Insys Therapeutics Inc
BH,Obh Inc
HBB,Hamilton Beach Brand-A
LCUT,Lifetime Brands Inc
NGVC,Natural Grocers By Vitamin Cottage Inc
CBIO,Catalyst Biosciences Inc
CSU,Capital Senior Living Corp
MESA,Mesa Air Group Inc
CELH,Celsius Holdings Inc
LOGC,Logicbio Therapeutics Inc
OSG,Overseas Shipholding Group Inc
NDLS,Noodles & Co
FSFG,First Savings Financial Group Inc
CDLX,Cardlytics Inc
GFN,General Finance Corp
FRTA,Forterra Inc
GWRS,Global Water Resources Inc
GAIA,Gaiam Inc
NVTR,Nuvectra Corp
INAP,Internap Corp
VRCA,Verrica Pharmaceuticals Inc
FGBI,First Guaranty Bancshares In
GBL,Gamco Investors Inc
PTSI,Pam Transportation Services Inc
HBIO,Harvard Bioscience Inc
PVBC,Provident Bancorp Inc
NEOS,Neos Therapeutics Inc
MCRB,Seres Therapeutics Inc
AVEO,Aveo Pharmaceuticals Inc
PCYG,Park City Group Inc
ADMA,Adma Biologics Inc
ELVT,Elevate Credit Inc
CRD.B,Crawford & Co
SBPH,Spring Bank Pharmaceuticals Inc
CLXT,Calyxt Inc
AC,Associated Capital Group A
ICBK,County Bancorp Inc
GCBC,Greene County Bancorp Inc
ARA,American Renal Associates Holdings Inc
TZOO,Travelzoo Inc
AGFS,Agrofresh Solutions Inc
AUBN,Auburn National Bancorporation Inc
GNK,Genco Shipping & Trading Ltd
SND,Smart Sand Inc
HNRG,Hallador Energy Co
SPRO,Spero Therapeutics Inc
XOMA,Xoma Corp
KINS,Kingstone Cos Inc
MTEM,Molecular Templates Inc
HEAR,Turtle Beach Corp
SHLO,Shiloh Industries Inc
JNCE,Jounce Therapeutics Inc
ASUR,Asure Software Inc
TTOO,T2 Biosystems Inc
NTGN,Neon Therapeutics Inc
COOL,Polarityte Inc
IRMD,Iradimed Corp
SELB,Selecta Biosciences Inc
JILL,J. Jill Inc
KIRK,Kirkland'S Inc
MBII,Marrone Bio Innovations Inc
SB,Safe Bulkers Inc
ABUS,Arbutus Biopharma Corp
VAPO,Vapotherm Inc
HOV,Hovnanian Enterprises Inc
NHTC,Natural Health Trends Corp
NATR,Nature'S Sunshine Products Inc
ISRL,Isramco Inc
ALCO,Alico Inc
ZFGN,Zafgen Inc
MGI,Moneygram Intl Inc
SREV,Servicesource Intl Inc
SIEB,Siebert Financial Corp
GRTS,Gritstone Oncology Inc
MLP,Maui Land & Pineapple Co
IEA,Infrastructure And Energy Alternatives Inc
AE,Adams Resources & Energy Inc
CBNK,Capital Bancorp Inc/Md
PIR,Pier 1 Imports Inc
ORN,Orion Marine Group Inc
RTW,Rtw Retailwinds Inc
TPHS,Trinity Place Holdings Inc
DZSI,Dasan Zhone Solutions Inc
GEN,Genesis Healthcare Inc
KOPN,Kopin Corp
MGEN,Miragen Therapeutics Inc
RAIL,Freightcar America Inc
ECOR,"Electrocore, Inc."
KOD,Kodiak Sciences Inc
MRSN,Mersana Therapeutics Inc
LQDA,Liquidia Technologies Inc
ALNA,Allena Pharmaceuticals Inc
IDRA,Idera Pharmaceuticals Inc
PFSW,Pfsweb Inc
AMEH,Apollo Medical Holdings Inc
MNLO,Menlo Therapeutics Inc
UPL,Ultra Petroleum Corp
STRO,Sutro Biopharma Inc
MBIO,Mustang Bio Inc
ELGX,Endologix Inc
UMRX,Unum Therapeutics Inc
BSVN,Bank7 Corp
TORC,"Restorbio, Inc."
FBIO,Fortress Biotech Inc
MR,Montage Resources Corp
CHRA,Charah Solutions Inc
QHC,Quorum Health Corp
CWBR,Cohbar Inc
VHI,Valhi Inc
VUZI,Vuzix Corp
ROX,Castle Brands Inc
TTPH,Tetraphase Pharmaceuticals Inc
BH A,Obh Inc
NWHM,New Home Co Inc
CLUB,Town Sports Intl Holdings Inc
CRVS,Corvus Pharmaceuticals Inc
NYMX,Nymox Pharmaceutical Corp
LEGH,Legacy Housing Corp
AMPE,Ampio Pharmaceuticals Inc
LLEX,Lilis Energy Inc
MJCO,Majesco
APTX,Aptinyx Inc
TCI,Transcontinental Realty Inv
SURF,Surface Oncology Inc
VERI,Veritone Inc
FENC,Fennec Pharmaceuticals Inc
RMNI,Rimini Street Inc
AQST,Aquestive Therapeutics Inc
CRR,Carbo Ceramics Inc
DWSN,Dawson Geophysical Co
CTIC,Cti Biopharma Corp
NLNK,Newlink Genetics Corp
MHLD,Maiden Holdings Ltd
BAS,Basic Energy Services Inc
NYNY,Empire Resorts Inc
BGFV,Big 5 Sporting Goods Corp
OFED,Oconee Federal Financial Cor
NEXT,Nextdecade Corp
HSM,Helius Medical Technologies Inc
AGE,Agex Therapeutics Inc
KODK,Eastman Kodak Co
METC,Ramaco Resources Inc
MARK,Remark Holdings Inc
KEG,Key Energy Services Inc
TLGT,Teligent Inc
AINC,Ashford Inc
PTI,Proteostasis Therapeutics Inc
PFIE,Profire Energy Inc
NCSM,Ncs Multistage Holdings Inc
OSMT,Osmotica Pharmaceuticals Plc
CLSD,Clearside Biomedical Inc
NK,Nantkwest Inc
IMH,Impac Mortgage Holdings Inc
FVCB,Fvcbankcorp Inc
MLNT,Melinta Therapeutics Inc
EQ,Equillium Inc
INNT,Innovate Biopharmaceuticals Inc
GRIF,Griffin Land & Nurseries Inc
BBGI,Beasley Broadcast Group Inc
NL,Nl Industries Inc
ZN,Zion Oil And Gas Inc
SNNA,Sienna Biopharmaceuticals In
PRPL,Purple Innovation Inc
ARL,American Realty Investors Inc
QES,Quintana Energy Services Inc
HARP,Harpoon Therapeutics Inc
SCPH,Scpharmaceuticals Inc
CIX,Compx Intl Inc
AAC,Aac Holdings Inc
OVID,Ovid Therapeutics Inc
VALU,Value Line Inc
AMR,Alta Mesa Resources Inc
FRAN,Francesca'S Holdings Corp
FCEL,Fuelcell Energy Inc
XFOR,X4 Pharmaceuticals Inc
NH,Nanthealth Inc
BW,Babcock & Wilcox Enterpr
NES,Nuverra Environmental Solutions Inc
ZOM,Zomedica Pharmaceuticals Corp
AREX,Approach Resources Inc
BRS,Bristow Group Inc
EPE,Ep Energy Corp
ROSE,Rosehill Resources Inc
IMUX,Immunic Inc
GTXI,Gtx Inc
HTGC,Hercules Technology Growth Capital Inc
PSEC,Prospect Capital Corp
BKCC,Blackrock Kelso Capital Corp
