Security Ticker,Security Description
PENN,Penn National Gaming Inc
WSBC,Wesbanco Inc
PTLA,Portola Pharmaceuticals Inc
HALO,Halozyme Therapeutics Inc
IVR,Invesco Mortgage Capital Inc
PRA,Proassurance Corp
CVA,Covanta Holding Corp
MTDR,Matador Resources Co
NTCT,Netscout Systems Inc
CLI,Mack-Cali Realty Corp
AVNS,Avanos Medical Inc
CNMD,Conmed Corp
AVLR,Avalara Inc
FRME,First Merchants Corp
CVLT,Commvault Systems Inc
GWB,Great Western Bancorp Inc
CTRE,Caretrust Reit Inc
GCP,Gcp Applied Technologies
CAKE,Cheesecake Factory Inc/The
EXLS,Exlservice Holdings Inc
CARG,Cargurus Inc
VRNS,Varonis Systems Inc
PTCT,Ptc Therapeutics Inc
AEIS,Advanced Energy Industries Inc
NSIT,Insight Enterprises Inc
OTTR,Otter Tail Corp
JACK,Jack In The Box Inc
INT,World Fuel Services Corp
SBH,Sally Beauty Holdings Inc
ROIC,Retail Opportunity Investments Corp
PRGS,Progress Software Corp
DLX,Deluxe Corp
TVPT,Travelport Worldwide Ltd
UE,Urban Edge Properties
MTH,Meritage Homes Corp
AAON,Aaon Inc
CMPR,Cimpress Nv
GVA,Granite Construction Inc
BHVN,Biohaven Pharmaceutical Hold
SHEN,Shenandoah Telecommunications Co
WAGE,Wageworks Inc
CMC,Commercial Metals Co
FCPT,Four Corners Property Trust
RPD,Rapid7 Inc
EPAY,Bottomline Technologies (De) Inc
ANF,Abercrombie & Fitch Co
NWN,Northwest Natural Holding Co
RH,Restoration Hardware Holdings Inc
AVYA,Avaya Holdings Corp
ICPT,Intercept Pharmaceuticals Inc
OII,Oceaneering Intl Inc
LXP,Lexington Realty Trust
TSE,Trinseo Sa
SAIL,Sailpoint Technologies Holdings Inc
GNW,Genworth Financial Inc
LTXB,Legacy Texas Financial Group Inc
BLDR,Builders Firstsource Inc
ESE,Esco Technologies Inc
PDCO,Patterson Cos Inc
TPH,Tri Pointe Homes Inc
MYGN,Myriad Genetics Inc
PCRX,Pacira Pharmaceuticals Inc
CUB,Cubic Corp
FIX,Comfort Systems Usa Inc
CHSP,Chesapeake Lodging Trust
ALGT,Allegiant Travel Co
ENDP,Endo Intl Plc
NVRO,Nevro Corp
CFFN,Capitol Federal Financial Inc
NEO,Neogenomics Inc
CMP,Compass Minerals Intl Inc
GLNG,Golar Lng Ltd
CORE,Core-Mark Holding Co Inc
CNNE,Cannae Holdings Inc
CPE,Callon Petroleum Co
PLXS,Plexus Corp
MDRX,Allscripts Healthcare Solutions Inc
IRTC,Irhythm Technologies Inc
MTOR,Meritor Inc
EGBN,Eagle Bancorp Inc
SPSC,Sps Commerce Inc
SCL,Stepan Co
XLRN,Acceleron Pharma Inc
FWRD,Forward Air Corp
IBTX,Independent Bank Group Inc
YEXT,Yext Inc
PEGI,Pattern Energy Group Inc
SUM,Summit Materials Inc
AXE,Anixter Intl Inc
HSC,Harsco Corp
RRR,Red Rock Resorts Inc
LTC,Ltc Properties Inc
THC,Tenet Healthcare Corp
BL,Blackline Inc
RNST,Renasant Corp
SUPN,Supernus Pharmaceuticals Inc
AAT,American Assets Trust Inc
BOFI,Axos Financial Inc
EVTC,Evertec Inc
TOWN,Towne Bank
BANR,Banner Corp
HOPE,Hope Bancorp Inc
MGLN,Magellan Health Services Inc
OSIS,Osi Systems Inc
NMIH,Nmi Holdings Inc
ARWR,Arrowhead Pharmaceuticals Inc
SAIA,Saia Inc
SKT,Tanger Factory Outlet Centers Inc
HF,Hff Inc
PLCE,Childrens Place Inc
GIII,G-Iii Apparel Group Ltd
COKE,Coca Cola Bottling Co Consolidated
BEAT,Biotelemetry Inc
KAMN,Kaman Corp
MED,Medifast Inc
ARCH,Arch Coal Inc - A
EYE,National Vision Holdings Inc
LPSN,Liveperson Inc
MANT,Mantech Intl Corp
NSA,National Storage Affiliates Trust
NWBI,Northwest Bancshares Inc
ALEX,Alexander & Baldwin Inc
FLOW,Spx Flow Inc
MLI,Mueller Industries Inc
BLMN,Bloomin' Brands Inc
BCOR,Blucora Inc
PRO,Pros Holdings Inc
NBTB,Nbt Bancorp Inc
WABC,Westamerica Bancorp
HMN,Horace Mann Educators Corp
LSCC,Lattice Semiconductor Corp
KN,Knowles Corp
RETA,Reata Pharmaceuticals Inc
TRTN,Triton International Ltd
MYOK,Myokardia Inc
EFII,Electronics For Imaging Inc
CROX,Crocs Inc
MATX,Matson Inc
GRPN,Groupon Inc
GTN,Gray Television Inc
CWST,Casella Waste Systems Inc
RUN,Sunrun Inc
ZGNX,Zogenix Inc
HLI,Houlihan Lokey Inc
MC,Moelis & Co
